CONCEPTO,DEPARTAMENTO,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008_P,2008_R,2008_V,2008,2009_P,2009,2010_P ,2010,2011_P,2011_AD,2011,2012,2013_P,2013_V,2013,2014_P,2014_V,2014,2015_P,2015,2016_P,2016,2017_P,2017,2018_P,2018,2019_P,2019,2020_P
IDH,COCHABAMBA,,,,,,,,,,,,,,,53.99060735,195.46365804,208.2266965,85.132737,38.413778,123.546515,123.60526307,106.079217,98.31645863,69.418819,102.71459038,107.310169,13.574977,137.10933764,184.61951115,145.33875,235.466055,236.80881228,160.766808,237.834911,237.83090589,197.817079,169.15730373,112.730386,82.6692963,76.865632,84.68074393,83.220218,102.43128652,104.069698,86.48874114,83.937227
IDH,ORURO,,,,,,,,,,,,,,,113.15146532,195.5292526,211.75431057,85.132737,38.413778,123.546515,114.22432159,106.079217,98.31645904,69.418819,102.71460676,107.310169,13.574977,137.10935272,184.61952688,145.33875,235.466055,236.80881245,160.766808,237.834911,237.83090566,197.817079,169.1573037,112.730386,82.66929608,76.865632,84.68074375,83.220218,102.43128626,104.069698,86.4887412,83.937227
IDH,POTOSI,,,,,,,,,,,,,,,113.15142332,195.5292526,211.75431057,85.132737,38.413778,123.546515,114.22432159,106.079217,98.31645904,69.418819,102.71460676,107.310169,13.574977,137.10935272,184.61952688,145.33875,235.466055,236.80881245,160.766808,237.834911,237.83090566,197.817079,169.1573037,112.730386,82.66929608,76.865632,84.68074375,83.220218,102.43128626,104.069698,86.4887412,83.937227
IDH,TARIJA,,,,,,,,,,,,,,,139.56586802,250.01799704,273.40830522,111.269304,50.207176,161.47648,154.72501336,138.511491,131.89931995,89.985262,141.31358999,149.76978,19.057905,186.3791068,243.21678866,205.620704,326.094516,313.54216918,224.010669,316.854714,316.83416894,264.828909,224.39410628,146.318074,107.73540765,101.496835,92.2758623,93.869724,106.07420833,109.943757,88.62979485,87.074017
IDH,SANTA CRUZ,,,,,,,,,,,,,,,61.6761981,196.51557241,207.64164675,85.132737,38.413778,123.546515,120.39867797,106.079217,98.316457,69.418819,102.71459023,107.310169,13.574977,137.1093377,184.61955611,145.33875,235.466055,236.80881261,160.766808,237.834911,237.83090578,197.817079,169.15730364,112.730386,82.66929589,76.865632,84.68074412,83.220218,102.43128641,104.069698,86.48874134,83.937227
IDH,BENI,,,,,,,,,,,,,,,113.15146532,195.5292526,211.75431057,85.132737,38.413778,123.546515,114.22432159,106.0479217,98.31645904,69.418819,102.71460676,107.310169,13.574977,137.10935272,184.61952688,145.33875,235.466055,236.80881245,160.766808,237.834911,237.83090566,197.817079,169.1573037,112.730386,82.66929608,76.865632,84.68074375,83.220218,102.43128626,104.069698,86.4887412,83.937227
IDH,PANDO,,,,,,,,,,,,,,,113.15146532,195.5292526,211.75431057,85.132737,38.413778,123.546515,114.22432159,106.079217,98.31645904,69.418819,102.71460676,107.310169,13.574977,137.10935272,184.61952688,145.33875,235.466055,236.80881245,160.766808,237.834911,237.83090566,197.817079,169.1573037,112.730386,82.66929608,76.865632,84.68074375,83.220218,102.43128626,104.069698,86.4887412,83.937227
REGALIAS MINERAS,CHUQUISACA,0,0,0,0,0,0.043414,0.044194,0.04116715,0.06442852,0.25197297,0.03721836,0,0,0,0,0.01380786,2.01985385,1.134125,,1.134125,0.6791201,0.367988,1.21595947,1.299464,3.09509251,1.185426,0,2.33537222,1.44884847,3.401906,3.401906,3.05456852,1.895881,2.317784,2.29662007,1.946193,3.42156539,1.417311,4.44998706,1.768691,8.81283798,3.67267,8.08958739,6.204559,7.66432993,6.876152
REGALIAS MINERAS,LA PAZ,0,0,0,0,0,2.74255074,1.81948801,0.40706472,0.02525748,0,0,2.85524137,3.86984581,11.75288716,12.29524389,37.21723729,63.45724892,45.438135,,45.438135,53.66494776,27.696652,24.76198711,28.228417,45.860527,31.268262,0,57.95514877,47.84667317,37.896366,83.315912,91.28420516,48.525565,213.986479,211.83731627,49.813313,124.62035202,104.104728,131.82516565,101.87878,176.95697606,117.977372,136.71052216,128.611649,197.7948045,127.178072
REGALIAS MINERAS,COCHABAMBA,0,0,0,0,0,0.11406583,0.03055299,0.49969752,0.25907431,0.29777543,0.06540597,0.06684112,0.09704162,0.28125018,0.69983255,1.63787066,4.23387526,2.478535,,2.478535,4.43898104,5.442163,2.56550771,4.699163,6.38219391,4.187697,0,8.9604888,8.99648972,7.322676,7.322676,10.26981872,6.136492,14.157578,14.19019923,6.299339,12.66330136,11.601016,9.51692981,9.767825,12.86794911,10.400052,16.39880914,12.320482,13.81569989,10.794115
